Age,Gender,Education,City,Income,Years_of_Experience,Purchased
48.0,nan,Master's,Houston,142192.0,15.0,0
49.0,Male,nan,Los Angeles,114550.0,15.0,0
23.0,nan,PhD,New York,82748.0,1.0,1
22.0,Female,High School,San Francisco,112504.0,9.0,0
,Female,High School,Los Angeles,87336.0,17.0,1
37.0,Male,PhD,New York,142276.0,17.0,0
35.0,nan,nan,Houston,,7.0,0
24.0,nan,PhD,nan,96647.0,19.0,1
38.0,Female,Bachelor's,Houston,139144.0,5.0,0
32.0,nan,Master's,Los Angeles,93873.0,12.0,1
35.0,Female,PhD,New York,77774.0,0.0,0
46.0,Male,nan,New York,147494.0,16.0,1
46.0,nan,nan,nan,73048.0,10.0,1
29.0,Male,Master's,nan,46747.0,18.0,1
,Female,PhD,nan,127449.0,17.0,0
46.0,Male,nan,nan,57756.0,1.0,0
41.0,nan,PhD,Chicago,56577.0,14.0,0
24.0,Male,High School,Los Angeles,134193.0,7.0,0
32.0,Male,Master's,Chicago,116112.0,19.0,0
44.0,nan,nan,Houston,74202.0,14.0,1
37.0,Female,PhD,Chicago,108552.0,12.0,1
38.0,nan,nan,New York,77407.0,15.0,1
22.0,nan,High School,nan,100907.0,2.0,1
22.0,Female,Bachelor's,New York,134946.0,3.0,0
49.0,Female,High School,nan,53107.0,7.0,1
43.0,Female,PhD,Los Angeles,113056.0,8.0,1
44.0,Male,High School,Houston,102394.0,11.0,0
39.0,nan,High School,Houston,70751.0,19.0,0
25.0,nan,Master's,nan,130942.0,10.0,0
26.0,Female,High School,nan,131819.0,7.0,0
21.0,Male,High School,San Francisco,75643.0,1.0,1
21.0,Male,Master's,San Francisco,55114.0,,1
44.0,nan,Master's,Chicago,63164.0,7.0,1
35.0,Female,Master's,New York,53271.0,9.0,1
40.0,Male,Bachelor's,nan,99736.0,18.0,1
45.0,Female,Master's,Houston,112378.0,10.0,0
,Female,PhD,Houston,116023.0,5.0,1
22.0,Female,Bachelor's,Houston,99630.0,17.0,0
43.0,nan,Bachelor's,Houston,149961.0,0.0,1
33.0,Male,PhD,New York,33266.0,0.0,1
20.0,Male,PhD,San Francisco,44005.0,,1
44.0,nan,nan,Houston,105375.0,11.0,1
27.0,nan,nan,Los Angeles,62778.0,17.0,0
31.0,Male,Bachelor's,Chicago,124451.0,8.0,1
22.0,Male,Bachelor's,Houston,62438.0,16.0,0
43.0,nan,Bachelor's,Houston,147273.0,10.0,0
24.0,Female,Bachelor's,San Francisco,59307.0,13.0,1
45.0,Female,nan,San Francisco,71210.0,4.0,1
27.0,Male,High School,New York,145884.0,14.0,0
24.0,nan,Master's,Los Angeles,38653.0,16.0,1
,Female,Master's,Houston,133148.0,14.0,1
45.0,Male,Bachelor's,Chicago,141827.0,3.0,0
44.0,Male,Bachelor's,Houston,65931.0,15.0,0
48.0,Female,PhD,New York,137712.0,,1
33.0,nan,PhD,Chicago,86724.0,7.0,1
44.0,nan,Bachelor's,Los Angeles,64577.0,15.0,0
20.0,nan,Master's,Chicago,116820.0,0.0,1
22.0,Female,nan,San Francisco,110001.0,9.0,1
43.0,nan,Master's,Los Angeles,76112.0,3.0,1
43.0,Female,Bachelor's,New York,52689.0,10.0,0
49.0,Female,Master's,San Francisco,102789.0,3.0,1
35.0,Male,nan,New York,64070.0,6.0,0
43.0,Male,Bachelor's,Los Angeles,137741.0,0.0,0
36.0,Male,PhD,nan,64737.0,16.0,1
46.0,Female,High School,Chicago,112502.0,19.0,1
27.0,Female,Master's,New York,132259.0,11.0,1
32.0,Male,High School,San Francisco,34720.0,9.0,0
48.0,nan,nan,nan,134269.0,15.0,0
39.0,Female,nan,San Francisco,126798.0,12.0,0
49.0,nan,nan,New York,67904.0,19.0,0
37.0,nan,High School,Los Angeles,48420.0,14.0,0
27.0,Female,nan,Los Angeles,92894.0,16.0,1
,Male,PhD,nan,102375.0,14.0,0
47.0,Female,Bachelor's,San Francisco,57727.0,14.0,1
29.0,nan,PhD,Los Angeles,74491.0,16.0,1
40.0,Male,High School,nan,40874.0,16.0,1
32.0,nan,Bachelor's,Los Angeles,78455.0,12.0,0
34.0,Female,High School,Los Angeles,142032.0,9.0,1
41.0,Male,Bachelor's,Los Angeles,64644.0,3.0,1
39.0,Female,nan,Los Angeles,123315.0,18.0,1
23.0,nan,Master's,Houston,72885.0,17.0,1
38.0,Female,Bachelor's,nan,,1.0,1
37.0,Male,Master's,Los Angeles,77436.0,11.0,1
29.0,nan,nan,nan,54547.0,,0
48.0,nan,Master's,San Francisco,91181.0,10.0,0
35.0,Male,Master's,nan,55213.0,4.0,1
32.0,Female,High School,Chicago,46506.0,3.0,1
45.0,Female,High School,nan,133889.0,6.0,1
42.0,nan,Bachelor's,New York,103759.0,11.0,1
49.0,Female,nan,San Francisco,91150.0,16.0,0
48.0,Female,PhD,Houston,77404.0,10.0,0
,Male,PhD,nan,144220.0,10.0,1
23.0,Male,PhD,Los Angeles,67799.0,15.0,1
24.0,Female,Bachelor's,Houston,140646.0,0.0,1
30.0,Male,High School,Houston,121850.0,7.0,1
42.0,nan,PhD,Los Angeles,38245.0,19.0,0
48.0,Male,High School,San Francisco,97210.0,8.0,1
42.0,nan,PhD,Houston,114237.0,8.0,0
22.0,Male,PhD,nan,104733.0,1.0,0
40.0,Male,PhD,San Francisco,142689.0,19.0,0
36.0,Female,High School,Los Angeles,107566.0,7.0,1
33.0,Male,PhD,New York,92692.0,5.0,0
42.0,Male,High School,New York,69975.0,8.0,0
26.0,Male,High School,nan,,,0
25.0,Male,Master's,Los Angeles,113904.0,12.0,0
24.0,Male,Master's,San Francisco,46586.0,5.0,1
48.0,Male,Bachelor's,Houston,59787.0,8.0,0
31.0,Male,Master's,nan,119750.0,12.0,1
24.0,nan,nan,San Francisco,109520.0,0.0,1
34.0,Male,High School,Houston,48196.0,19.0,0
46.0,Female,nan,San Francisco,96090.0,17.0,1
45.0,Female,PhD,Los Angeles,149107.0,12.0,1
41.0,Female,nan,New York,35550.0,10.0,1
30.0,Male,Bachelor's,San Francisco,31184.0,16.0,0
37.0,Male,nan,Chicago,75803.0,0.0,0
46.0,nan,Bachelor's,Los Angeles,35699.0,19.0,1
49.0,Male,Master's,Houston,78578.0,8.0,1
25.0,Female,High School,Houston,80717.0,10.0,1
32.0,Male,nan,San Francisco,124257.0,4.0,1
28.0,nan,PhD,New York,35914.0,12.0,1
36.0,Female,High School,New York,58694.0,8.0,0
42.0,nan,Bachelor's,Houston,143581.0,19.0,1
30.0,Male,High School,nan,120625.0,7.0,1
27.0,nan,Bachelor's,San Francisco,126488.0,0.0,1
36.0,nan,High School,Los Angeles,103086.0,18.0,1
26.0,nan,Bachelor's,San Francisco,,16.0,1
31.0,Female,Bachelor's,nan,52142.0,15.0,0
30.0,nan,High School,nan,69131.0,0.0,0
39.0,Male,High School,Los Angeles,120827.0,17.0,0
23.0,nan,Bachelor's,Los Angeles,122726.0,1.0,0
22.0,nan,High School,San Francisco,144956.0,18.0,0
21.0,Female,Bachelor's,Los Angeles,91065.0,7.0,1
20.0,Male,nan,Houston,131963.0,5.0,0
40.0,nan,Bachelor's,Los Angeles,123718.0,16.0,0
22.0,nan,Bachelor's,Chicago,36016.0,14.0,1
38.0,Male,Master's,Houston,51854.0,12.0,1
47.0,nan,nan,nan,60204.0,,1
24.0,Female,Master's,New York,73662.0,,1
23.0,Male,PhD,Chicago,99310.0,2.0,0
25.0,nan,nan,San Francisco,38254.0,5.0,1
26.0,Male,Master's,nan,141160.0,5.0,1
,Male,PhD,Chicago,36606.0,16.0,0
26.0,nan,nan,Los Angeles,141945.0,0.0,0
48.0,Male,High School,Houston,35420.0,19.0,0
48.0,Male,nan,New York,109639.0,4.0,0
49.0,Female,High School,Los Angeles,71407.0,5.0,1
38.0,Female,High School,nan,103727.0,18.0,1
31.0,nan,nan,New York,75202.0,9.0,0
38.0,Female,Bachelor's,San Francisco,79038.0,1.0,1
38.0,Female,High School,Los Angeles,49676.0,7.0,0
38.0,nan,Bachelor's,New York,103240.0,18.0,1
32.0,nan,PhD,Los Angeles,50196.0,17.0,1
24.0,nan,PhD,nan,57358.0,6.0,0
24.0,nan,Bachelor's,New York,45626.0,6.0,0
26.0,Male,Bachelor's,Los Angeles,126198.0,19.0,1
35.0,Male,High School,Chicago,43725.0,3.0,1
47.0,nan,PhD,New York,65878.0,0.0,1
39.0,nan,Bachelor's,New York,,16.0,1
,Male,PhD,nan,100047.0,,1
24.0,Female,nan,Chicago,55008.0,12.0,1
30.0,Female,High School,nan,102551.0,12.0,1
21.0,Female,Master's,Chicago,44057.0,5.0,1
43.0,Male,Master's,New York,47790.0,18.0,0
47.0,Female,Bachelor's,San Francisco,36364.0,11.0,0
34.0,nan,High School,San Francisco,88048.0,17.0,1
42.0,nan,Master's,Houston,106139.0,5.0,1
39.0,nan,Bachelor's,nan,112803.0,2.0,0
21.0,Female,Master's,Los Angeles,136582.0,15.0,1
38.0,Male,PhD,New York,95256.0,10.0,0
45.0,Male,Master's,Houston,43454.0,12.0,1
27.0,nan,nan,nan,53497.0,9.0,0
36.0,Female,PhD,Houston,148469.0,5.0,1
38.0,Female,Master's,New York,96863.0,10.0,1
31.0,nan,PhD,Houston,39563.0,9.0,0
41.0,Female,PhD,Los Angeles,102052.0,2.0,1
32.0,nan,PhD,Houston,125595.0,12.0,0
24.0,Male,High School,Chicago,88985.0,5.0,1
30.0,Male,PhD,Chicago,67436.0,,1
32.0,nan,PhD,San Francisco,87005.0,9.0,1
49.0,nan,nan,Houston,92376.0,18.0,0
25.0,Male,High School,Los Angeles,94672.0,0.0,0
39.0,Female,Bachelor's,nan,108468.0,1.0,0
41.0,nan,PhD,San Francisco,,8.0,1
46.0,Female,Master's,New York,87064.0,4.0,0
35.0,nan,PhD,Houston,56017.0,17.0,1
48.0,Male,Bachelor's,nan,123717.0,10.0,0
25.0,nan,Bachelor's,New York,99801.0,1.0,0
42.0,nan,Master's,Chicago,146691.0,12.0,1
33.0,nan,PhD,Houston,120794.0,13.0,1
48.0,nan,nan,San Francisco,130919.0,7.0,1
26.0,Female,Master's,San Francisco,110272.0,9.0,1
38.0,nan,nan,Los Angeles,139371.0,3.0,1
47.0,Female,High School,Chicago,130433.0,15.0,1
,Male,PhD,New York,36078.0,4.0,0
45.0,Male,PhD,Los Angeles,102537.0,15.0,0
46.0,Female,nan,Los Angeles,,7.0,0
46.0,Female,nan,nan,89942.0,19.0,0
27.0,nan,PhD,Houston,79697.0,6.0,1
31.0,Male,Bachelor's,Houston,82105.0,1.0,1
44.0,Female,PhD,Los Angeles,78347.0,10.0,0
27.0,nan,nan,New York,105039.0,7.0,1
22.0,nan,PhD,New York,39565.0,5.0,0
44.0,Male,High School,Houston,143530.0,18.0,1
48.0,Female,nan,Houston,138956.0,3.0,1
20.0,nan,Master's,New York,44367.0,5.0,0
45.0,nan,Bachelor's,Houston,139984.0,16.0,0
20.0,nan,Master's,Houston,57910.0,18.0,0
20.0,Male,nan,San Francisco,142828.0,8.0,0
40.0,Female,nan,Los Angeles,58574.0,17.0,0
41.0,Male,nan,nan,87379.0,16.0,1
,Female,Bachelor's,Houston,103939.0,6.0,1
36.0,nan,nan,San Francisco,56813.0,6.0,1
41.0,nan,nan,San Francisco,33173.0,14.0,1
28.0,Male,Bachelor's,New York,116118.0,19.0,1
49.0,Male,PhD,nan,31440.0,16.0,1
41.0,Female,High School,Chicago,148411.0,6.0,1
,Male,Bachelor's,San Francisco,46033.0,4.0,0
43.0,nan,PhD,New York,73555.0,14.0,0
31.0,Male,Bachelor's,Chicago,87575.0,9.0,1
22.0,Female,nan,Houston,128141.0,0.0,0
,Male,nan,San Francisco,50223.0,15.0,0
25.0,Female,High School,Houston,80518.0,19.0,1
29.0,Female,nan,nan,114491.0,17.0,1
43.0,Female,Bachelor's,Los Angeles,77750.0,3.0,0
32.0,Female,High School,Houston,80472.0,0.0,1
41.0,Male,nan,New York,73933.0,,1
,Male,Bachelor's,Houston,83552.0,16.0,1
24.0,Male,Bachelor's,nan,91203.0,13.0,0
20.0,Female,High School,Los Angeles,115140.0,16.0,1
32.0,Male,Master's,Chicago,62807.0,13.0,1
42.0,Male,High School,New York,115481.0,3.0,1
43.0,Male,Master's,New York,49060.0,13.0,0
30.0,Female,Master's,Chicago,139231.0,19.0,0
37.0,Female,High School,New York,93662.0,19.0,1
48.0,Female,Bachelor's,New York,,19.0,0
35.0,Female,Bachelor's,nan,65334.0,12.0,1
48.0,Male,nan,nan,78297.0,6.0,0
22.0,Male,Bachelor's,nan,47675.0,8.0,1
31.0,Female,PhD,nan,32483.0,3.0,0
24.0,nan,PhD,Los Angeles,132915.0,12.0,0
28.0,Male,High School,nan,119298.0,2.0,1
23.0,Female,High School,Los Angeles,132139.0,8.0,1
26.0,Male,nan,Chicago,,9.0,0
35.0,nan,High School,nan,47809.0,1.0,1
,nan,High School,San Francisco,31880.0,2.0,1
49.0,Male,High School,nan,120796.0,11.0,1
40.0,nan,Master's,San Francisco,145891.0,8.0,1
45.0,Female,Master's,Chicago,73596.0,7.0,1
39.0,nan,Master's,Houston,98324.0,12.0,0
30.0,Female,Master's,Los Angeles,54140.0,5.0,0
27.0,Female,Master's,Chicago,107746.0,14.0,1
36.0,Male,Bachelor's,Chicago,,11.0,0
38.0,nan,Bachelor's,San Francisco,49440.0,12.0,1
47.0,Male,High School,Los Angeles,50958.0,16.0,0
20.0,Male,High School,San Francisco,126970.0,8.0,1
41.0,Female,High School,Los Angeles,116152.0,8.0,0
,nan,PhD,New York,113200.0,1.0,1
21.0,Female,nan,San Francisco,96188.0,10.0,0
44.0,Female,PhD,Los Angeles,110998.0,9.0,1
,Male,Bachelor's,Chicago,124561.0,15.0,1
44.0,Male,High School,Los Angeles,124050.0,1.0,1
43.0,Female,Bachelor's,nan,142976.0,1.0,0
38.0,Male,High School,Los Angeles,31882.0,2.0,0
41.0,Female,Bachelor's,New York,74404.0,0.0,0
31.0,Male,PhD,Chicago,123046.0,4.0,1
33.0,Male,Master's,San Francisco,,1.0,1
24.0,Male,Master's,New York,49089.0,13.0,1
40.0,Male,High School,Houston,135449.0,3.0,0
40.0,Male,Bachelor's,Chicago,149802.0,7.0,1
46.0,Female,nan,San Francisco,80470.0,2.0,0
31.0,Male,Bachelor's,New York,146232.0,8.0,1
40.0,Male,nan,Los Angeles,68324.0,12.0,0
23.0,Female,PhD,Houston,32883.0,2.0,1
22.0,nan,nan,New York,104182.0,10.0,0
21.0,Male,nan,New York,98419.0,1.0,0
31.0,Male,nan,Chicago,136646.0,7.0,0
29.0,Male,Bachelor's,San Francisco,137789.0,4.0,1
44.0,nan,Master's,New York,,2.0,0
26.0,Male,Master's,New York,139743.0,16.0,1
20.0,Female,Bachelor's,San Francisco,44455.0,10.0,1
37.0,Male,Master's,Los Angeles,68414.0,0.0,0
41.0,Female,nan,New York,130473.0,4.0,0
20.0,Female,Master's,Houston,66685.0,8.0,0
44.0,Male,High School,Houston,43824.0,19.0,1
22.0,nan,Bachelor's,Houston,90775.0,,1
40.0,nan,Master's,nan,43482.0,5.0,1
45.0,nan,High School,San Francisco,91334.0,8.0,1
49.0,nan,High School,Houston,45249.0,2.0,1
36.0,nan,Master's,Chicago,82491.0,2.0,1
36.0,Female,Bachelor's,Los Angeles,88508.0,15.0,1
48.0,Male,Master's,Chicago,144615.0,0.0,0
27.0,Male,Bachelor's,New York,142443.0,0.0,0
33.0,Female,Master's,New York,141363.0,18.0,0
29.0,Male,Master's,New York,117037.0,7.0,1
43.0,nan,nan,nan,117717.0,9.0,0
49.0,Male,PhD,Los Angeles,71415.0,2.0,0
31.0,Male,Bachelor's,nan,,3.0,1
28.0,Female,High School,Los Angeles,63910.0,17.0,1
46.0,Female,nan,New York,32328.0,13.0,0
32.0,Female,PhD,Houston,132209.0,0.0,0
,Male,PhD,Houston,131749.0,11.0,1
43.0,Male,nan,Los Angeles,120905.0,13.0,0
40.0,nan,PhD,nan,122696.0,7.0,1
41.0,Male,Master's,New York,85251.0,14.0,0
36.0,Male,PhD,New York,,10.0,1
21.0,nan,Master's,New York,138100.0,12.0,1
30.0,Male,PhD,New York,119780.0,2.0,1
34.0,nan,Bachelor's,New York,74535.0,8.0,0
25.0,Male,nan,Los Angeles,120779.0,7.0,0
29.0,Male,PhD,New York,149465.0,12.0,1
26.0,Female,nan,Chicago,134767.0,17.0,0
46.0,Male,High School,San Francisco,73677.0,4.0,0
48.0,nan,Master's,Los Angeles,89416.0,14.0,0
38.0,Female,High School,nan,88332.0,6.0,0
29.0,nan,PhD,Los Angeles,104446.0,5.0,1
37.0,nan,High School,Chicago,131583.0,18.0,1
49.0,Male,Master's,Chicago,68530.0,2.0,1
42.0,Female,nan,San Francisco,91352.0,9.0,0
,Female,nan,New York,146607.0,6.0,1
29.0,Male,Bachelor's,Los Angeles,45244.0,14.0,1
,Male,Bachelor's,Los Angeles,83499.0,17.0,0
45.0,Female,Bachelor's,New York,99644.0,4.0,1
28.0,nan,Master's,Houston,47400.0,4.0,1
34.0,Female,nan,Los Angeles,133549.0,6.0,0
42.0,nan,Master's,nan,83432.0,12.0,1
44.0,Male,nan,nan,95484.0,18.0,1
47.0,Female,Master's,Chicago,65590.0,3.0,1
20.0,Male,nan,nan,73512.0,18.0,1
28.0,Female,High School,nan,91865.0,3.0,1
44.0,nan,High School,New York,84027.0,17.0,1
35.0,Male,PhD,New York,36549.0,5.0,1
45.0,Female,Master's,New York,39778.0,12.0,1
38.0,nan,PhD,Los Angeles,41098.0,19.0,0
22.0,Female,Bachelor's,nan,80346.0,19.0,0
42.0,Female,nan,Los Angeles,118085.0,8.0,1
21.0,Male,Master's,nan,136545.0,4.0,0
48.0,Female,High School,Los Angeles,144800.0,2.0,1
43.0,nan,Bachelor's,San Francisco,112993.0,18.0,1
45.0,Male,Bachelor's,Houston,62278.0,1.0,1
,nan,PhD,Chicago,120630.0,11.0,0
42.0,Male,nan,Chicago,125496.0,3.0,1
40.0,Female,nan,Houston,136766.0,0.0,0
47.0,Female,Bachelor's,San Francisco,144605.0,8.0,1
41.0,nan,PhD,Los Angeles,35646.0,3.0,0
22.0,nan,High School,nan,39192.0,3.0,0
30.0,Female,Master's,San Francisco,110953.0,,0
43.0,nan,nan,Chicago,143300.0,9.0,0
35.0,Female,Master's,Chicago,108152.0,12.0,0
34.0,Female,nan,New York,136939.0,5.0,1
31.0,Male,Bachelor's,Houston,75681.0,12.0,1
38.0,Male,PhD,Los Angeles,148241.0,9.0,1
21.0,Female,High School,Chicago,67940.0,9.0,1
35.0,Female,PhD,Los Angeles,,15.0,0
27.0,Female,Bachelor's,New York,148170.0,16.0,1
23.0,Female,nan,Houston,138815.0,17.0,1
33.0,Female,Master's,New York,143381.0,8.0,1
21.0,nan,PhD,San Francisco,76586.0,13.0,1
22.0,Female,PhD,Chicago,140093.0,6.0,0
21.0,Female,High School,Chicago,60502.0,3.0,0
45.0,Male,High School,Houston,54651.0,7.0,1
26.0,nan,nan,nan,127928.0,2.0,0
22.0,nan,Bachelor's,nan,113896.0,13.0,0
32.0,Female,High School,nan,143791.0,19.0,1
35.0,nan,Master's,Chicago,94909.0,11.0,1
34.0,Male,PhD,nan,101837.0,8.0,0
23.0,Female,High School,Chicago,111039.0,11.0,1
40.0,Male,High School,Chicago,,13.0,1
39.0,Female,Master's,Chicago,62373.0,7.0,1
21.0,Female,High School,Chicago,145038.0,,1
23.0,Female,nan,San Francisco,65410.0,17.0,0
28.0,Male,Bachelor's,New York,60224.0,3.0,0
47.0,Male,High School,nan,47952.0,18.0,0
25.0,Male,Master's,Los Angeles,32759.0,4.0,1
34.0,Male,High School,Houston,57169.0,,0
42.0,Female,PhD,Los Angeles,133944.0,3.0,1
33.0,Female,nan,Houston,92957.0,19.0,0
36.0,nan,nan,New York,69301.0,,0
33.0,nan,PhD,nan,99351.0,15.0,0
42.0,nan,nan,San Francisco,85661.0,13.0,0
48.0,Female,Master's,nan,62997.0,14.0,1
27.0,Male,PhD,Houston,30947.0,5.0,0
23.0,Female,High School,nan,87760.0,9.0,1
37.0,Male,PhD,San Francisco,125498.0,2.0,1
41.0,Male,Bachelor's,Chicago,79851.0,9.0,1
20.0,nan,High School,Houston,40443.0,11.0,1
40.0,Female,Master's,nan,55859.0,7.0,0
45.0,Female,Bachelor's,Chicago,70428.0,4.0,1
,Female,PhD,nan,46684.0,18.0,1
42.0,Female,Master's,San Francisco,,11.0,1
26.0,nan,Bachelor's,San Francisco,83494.0,19.0,0
33.0,Female,High School,nan,105804.0,16.0,1
33.0,nan,PhD,Los Angeles,38052.0,,0
48.0,Female,High School,Houston,32371.0,10.0,0
35.0,nan,Master's,Chicago,72031.0,13.0,1
29.0,Male,High School,Los Angeles,98769.0,18.0,1
41.0,nan,Master's,nan,145685.0,8.0,1
31.0,Male,PhD,Los Angeles,82834.0,12.0,1
45.0,nan,Bachelor's,nan,,,1
32.0,nan,Bachelor's,Houston,59376.0,16.0,1
35.0,Male,Master's,Houston,,0.0,1
34.0,Female,PhD,San Francisco,82919.0,6.0,1
49.0,nan,nan,nan,115901.0,1.0,0
21.0,nan,Bachelor's,San Francisco,121991.0,9.0,0
42.0,Male,Master's,Chicago,144504.0,19.0,1
34.0,Male,Bachelor's,nan,46525.0,6.0,1
36.0,nan,nan,nan,38004.0,16.0,0
48.0,nan,Master's,nan,135669.0,0.0,1
30.0,Male,nan,Los Angeles,138645.0,4.0,1
47.0,Female,Master's,New York,108995.0,11.0,1
45.0,Female,PhD,New York,71188.0,17.0,1
46.0,nan,nan,Los Angeles,35042.0,0.0,1
40.0,Male,Bachelor's,New York,87391.0,,0
48.0,nan,Master's,San Francisco,68706.0,5.0,0
42.0,Male,High School,Houston,79813.0,10.0,1
38.0,nan,Bachelor's,Los Angeles,48675.0,6.0,1
27.0,Male,PhD,Houston,55788.0,5.0,0
46.0,Female,High School,nan,44342.0,2.0,1
42.0,Female,High School,San Francisco,,2.0,1
24.0,Male,High School,nan,76108.0,7.0,1
43.0,Female,High School,New York,147803.0,5.0,1
46.0,Male,PhD,nan,140136.0,15.0,1
47.0,Female,nan,San Francisco,131673.0,16.0,1
47.0,Female,Master's,New York,93793.0,4.0,1
38.0,nan,High School,Los Angeles,81761.0,6.0,1
28.0,nan,Bachelor's,Chicago,91427.0,12.0,0
31.0,Male,Master's,New York,31575.0,14.0,0
41.0,Female,PhD,Los Angeles,132324.0,16.0,0
32.0,Female,High School,Los Angeles,57513.0,18.0,1
41.0,nan,Bachelor's,Chicago,53370.0,17.0,1
48.0,Male,nan,San Francisco,70320.0,12.0,0
35.0,Male,Master's,Chicago,135910.0,,1
23.0,Male,nan,Los Angeles,53416.0,6.0,1
26.0,nan,nan,Chicago,58501.0,8.0,1
36.0,Male,PhD,Los Angeles,142535.0,,1
34.0,nan,High School,Houston,123518.0,6.0,0
45.0,Female,High School,nan,145279.0,5.0,0
23.0,nan,Master's,Houston,70108.0,9.0,1
48.0,nan,Master's,nan,95361.0,6.0,1
23.0,Female,High School,Houston,107923.0,0.0,1
29.0,nan,PhD,Chicago,117542.0,6.0,0
25.0,nan,PhD,Los Angeles,58896.0,3.0,0
38.0,Female,PhD,Chicago,32307.0,8.0,1
41.0,Female,High School,New York,118409.0,9.0,0
44.0,Female,Master's,San Francisco,142250.0,15.0,0
35.0,nan,PhD,New York,62109.0,8.0,0
22.0,nan,Bachelor's,nan,138131.0,4.0,1
45.0,Female,Bachelor's,New York,138413.0,8.0,1
30.0,nan,Bachelor's,Chicago,93916.0,13.0,0
29.0,Female,Master's,New York,38676.0,11.0,1
43.0,Female,Bachelor's,Los Angeles,73222.0,9.0,0
28.0,Female,Master's,San Francisco,71772.0,17.0,0
46.0,Female,PhD,Chicago,107740.0,5.0,0
25.0,nan,nan,San Francisco,34549.0,12.0,0
39.0,nan,Master's,nan,106422.0,15.0,1
37.0,Male,PhD,Los Angeles,59955.0,3.0,1
24.0,Female,High School,nan,137854.0,7.0,0
40.0,Male,High School,Chicago,101592.0,12.0,1
26.0,Male,High School,New York,67996.0,2.0,0
43.0,Female,nan,Chicago,82871.0,8.0,1
34.0,Male,Bachelor's,Los Angeles,,13.0,1
29.0,Female,Bachelor's,New York,116280.0,16.0,1
42.0,Male,Master's,Chicago,142695.0,16.0,1
34.0,Male,Master's,San Francisco,62248.0,18.0,0
44.0,Female,nan,New York,103615.0,,1
39.0,Female,nan,Los Angeles,,2.0,0
36.0,nan,Master's,Chicago,38179.0,16.0,1
32.0,Female,Bachelor's,Chicago,33422.0,18.0,0
35.0,Male,PhD,New York,41253.0,4.0,0
43.0,nan,nan,San Francisco,71254.0,18.0,0
20.0,Female,High School,nan,45909.0,19.0,1
22.0,Female,Bachelor's,Los Angeles,129643.0,14.0,1
20.0,Female,nan,Houston,30737.0,15.0,1
38.0,nan,Master's,Chicago,112525.0,15.0,0
27.0,Female,Master's,Los Angeles,96946.0,7.0,1
22.0,nan,Bachelor's,New York,46323.0,17.0,1
27.0,nan,PhD,San Francisco,37279.0,9.0,0
27.0,Male,High School,San Francisco,100020.0,5.0,1
37.0,Female,PhD,Chicago,67934.0,6.0,1
30.0,Male,High School,San Francisco,114062.0,0.0,0
23.0,nan,nan,Los Angeles,121273.0,19.0,1
44.0,Female,Master's,Houston,146688.0,8.0,1
36.0,Male,High School,New York,134284.0,18.0,0
22.0,Female,Master's,San Francisco,58342.0,19.0,0
